Dataset;BlockStartIndex;BlockEndIndex;StartDate;EndDate;EvenCount;Occurrences;Percentage
OVERALL;1;500;1997-12-03;2002-09-11;0;2;0.4
OVERALL;1;500;1997-12-03;2002-09-11;1;52;10.4
OVERALL;1;500;1997-12-03;2002-09-11;2;118;23.6
OVERALL;1;500;1997-12-03;2002-09-11;3;173;34.6
OVERALL;1;500;1997-12-03;2002-09-11;4;105;21.0
OVERALL;1;500;1997-12-03;2002-09-11;5;44;8.8
OVERALL;1;500;1997-12-03;2002-09-11;6;6;1.2
OVERALL;501;1000;2002-09-14;2006-10-12;0;7;1.4
OVERALL;501;1000;2002-09-14;2006-10-12;1;49;9.8
OVERALL;501;1000;2002-09-14;2006-10-12;2;124;24.8
OVERALL;501;1000;2002-09-14;2006-10-12;3;141;28.2
OVERALL;501;1000;2002-09-14;2006-10-12;4;121;24.2
OVERALL;501;1000;2002-09-14;2006-10-12;5;52;10.4
OVERALL;501;1000;2002-09-14;2006-10-12;6;6;1.2
OVERALL;1001;1500;2006-10-14;2009-12-22;0;13;2.6
OVERALL;1001;1500;2006-10-14;2009-12-22;1;45;9.0
OVERALL;1001;1500;2006-10-14;2009-12-22;2;103;20.6
OVERALL;1001;1500;2006-10-14;2009-12-22;3;179;35.8
OVERALL;1001;1500;2006-10-14;2009-12-22;4;116;23.2
OVERALL;1001;1500;2006-10-14;2009-12-22;5;35;7.0
OVERALL;1001;1500;2006-10-14;2009-12-22;6;9;1.8
OVERALL;1501;2000;2009-12-24;2013-03-02;0;8;1.6
OVERALL;1501;2000;2009-12-24;2013-03-02;1;55;11.0
OVERALL;1501;2000;2009-12-24;2013-03-02;2;119;23.8
OVERALL;1501;2000;2009-12-24;2013-03-02;3;154;30.8
OVERALL;1501;2000;2009-12-24;2013-03-02;4;112;22.4
OVERALL;1501;2000;2009-12-24;2013-03-02;5;41;8.2
OVERALL;1501;2000;2009-12-24;2013-03-02;6;11;2.2
OVERALL;2001;2500;2013-03-05;2016-05-12;0;7;1.4
OVERALL;2001;2500;2013-03-05;2016-05-12;1;38;7.6
OVERALL;2001;2500;2013-03-05;2016-05-12;2;130;26.0
OVERALL;2001;2500;2013-03-05;2016-05-12;3;153;30.6
OVERALL;2001;2500;2013-03-05;2016-05-12;4;116;23.2
OVERALL;2001;2500;2013-03-05;2016-05-12;5;49;9.8
OVERALL;2001;2500;2013-03-05;2016-05-12;6;7;1.4
OVERALL;2501;3000;2016-05-14;2019-07-23;0;8;1.6
OVERALL;2501;3000;2016-05-14;2019-07-23;1;46;9.2
OVERALL;2501;3000;2016-05-14;2019-07-23;2;120;24.0
OVERALL;2501;3000;2016-05-14;2019-07-23;3;155;31.0
OVERALL;2501;3000;2016-05-14;2019-07-23;4;120;24.0
OVERALL;2501;3000;2016-05-14;2019-07-23;5;45;9.0
OVERALL;2501;3000;2016-05-14;2019-07-23;6;6;1.2
OVERALL;3001;3500;2019-07-25;2022-11-12;0;7;1.4
OVERALL;3001;3500;2019-07-25;2022-11-12;1;47;9.4
OVERALL;3001;3500;2019-07-25;2022-11-12;2;138;27.6
OVERALL;3001;3500;2019-07-25;2022-11-12;3;151;30.2
OVERALL;3001;3500;2019-07-25;2022-11-12;4;118;23.6
OVERALL;3001;3500;2019-07-25;2022-11-12;5;34;6.8
OVERALL;3001;3500;2019-07-25;2022-11-12;6;5;1.0
OVERALL;3501;4000;2022-11-15;2025-06-05;0;10;2.0
OVERALL;3501;4000;2022-11-15;2025-06-05;1;46;9.2
OVERALL;3501;4000;2022-11-15;2025-06-05;2;112;22.4
OVERALL;3501;4000;2022-11-15;2025-06-05;3;166;33.2
OVERALL;3501;4000;2022-11-15;2025-06-05;4;121;24.2
OVERALL;3501;4000;2022-11-15;2025-06-05;5;42;8.4
OVERALL;3501;4000;2022-11-15;2025-06-05;6;3;0.6
OVERALL;4001;4243;2025-06-06;2026-08-04;0;3;1.2346
OVERALL;4001;4243;2025-06-06;2026-08-04;1;20;8.2305
OVERALL;4001;4243;2025-06-06;2026-08-04;2;64;26.3374
OVERALL;4001;4243;2025-06-06;2026-08-04;3;71;29.2181
OVERALL;4001;4243;2025-06-06;2026-08-04;4;58;23.8683
OVERALL;4001;4243;2025-06-06;2026-08-04;5;21;8.642
OVERALL;4001;4243;2025-06-06;2026-08-04;6;6;2.4691
