Dataset;PreviousEvenCount;NextEvenCount;Occurrences;ConditionalPercentage
NEW_MODE;0;0;1;2.1739
NEW_MODE;0;1;5;10.8696
NEW_MODE;0;2;15;32.6087
NEW_MODE;0;3;10;21.7391
NEW_MODE;0;4;9;19.5652
NEW_MODE;0;5;5;10.8696
NEW_MODE;0;6;1;2.1739
NEW_MODE;1;0;6;2.3077
NEW_MODE;1;1;26;10.0
NEW_MODE;1;2;63;24.2308
NEW_MODE;1;3;88;33.8462
NEW_MODE;1;4;54;20.7692
NEW_MODE;1;5;21;8.0769
NEW_MODE;1;6;2;0.7692
NEW_MODE;2;0;15;2.1459
NEW_MODE;2;1;67;9.5851
NEW_MODE;2;2;177;25.3219
NEW_MODE;2;3;206;29.4707
NEW_MODE;2;4;167;23.8913
NEW_MODE;2;5;56;8.0114
NEW_MODE;2;6;11;1.5737
NEW_MODE;3;0;15;1.7162
NEW_MODE;3;1;69;7.8947
NEW_MODE;3;2;207;23.6842
NEW_MODE;3;3;286;32.7231
NEW_MODE;3;4;207;23.6842
NEW_MODE;3;5;72;8.238
NEW_MODE;3;6;18;2.0595
NEW_MODE;4;0;8;1.2085
NEW_MODE;4;1;69;10.423
NEW_MODE;4;2;165;24.9245
NEW_MODE;4;3;205;30.9668
NEW_MODE;4;4;150;22.6586
NEW_MODE;4;5;61;9.2145
NEW_MODE;4;6;4;0.6042
NEW_MODE;5;0;1;0.4219
NEW_MODE;5;1;18;7.5949
NEW_MODE;5;2;62;26.1603
NEW_MODE;5;3;66;27.8481
NEW_MODE;5;4;65;27.4262
NEW_MODE;5;5;22;9.2827
NEW_MODE;5;6;3;1.2658
NEW_MODE;6;0;0;0.0
NEW_MODE;6;1;6;15.3846
NEW_MODE;6;2;10;25.641
NEW_MODE;6;3;13;33.3333
NEW_MODE;6;4;9;23.0769
NEW_MODE;6;5;1;2.5641
NEW_MODE;6;6;0;0.0
