Trigger;Attivazioni;Riattivazioni;EstrazioniAttive;Risultati2;Risultati3;Risultati4;Risultati5;Risultati5+1;Risultati6
Numero del trigger;Quante volte il trigger e uscito nell'anno;Quante volte e ricomparso mentre era gia attivo;Numero di estrazioni uniche in cui il trigger e stato effettivamente attivo;Quante estrazioni attive hanno prodotto 2 numeri nel sistema;Quante estrazioni attive hanno prodotto 3 numeri nel sistema;Quante estrazioni attive hanno prodotto 4 numeri nel sistema;Quante estrazioni attive hanno prodotto 5 numeri nel sistema;Quante estrazioni attive hanno prodotto 5 numeri + Jolly nel sistema;Quante estrazioni attive hanno prodotto 6 numeri nel sistema
06;13;8;78;12;2;1;0;0;0
27;11;5;66;12;3;0;0;0;0
29;12;5;90;19;5;4;1;0;0
35;7;1;55;9;1;1;0;0;0
39;13;7;89;20;5;0;0;0;0
43;10;3;77;12;4;1;0;0;0
44;7;2;60;5;1;0;0;0;0
45;14;6;101;18;0;2;0;0;0
54;9;3;53;11;1;0;0;0;0
62;11;7;73;10;2;2;0;0;0
64;12;6;84;17;3;0;0;0;0
72;11;3;85;15;2;1;0;0;0
73;10;6;69;13;4;1;0;0;0
81;9;3;75;13;5;0;0;0;0
89;11;6;69;9;4;0;0;0;0
TOT;160;71;1124;195;42;13;1;0;0
