Dataset;Trigger;CandidatePool;CandidateNumber;DiscoveryRank;Split;Occurrences;PostDrawTotal;GeneralAppearances;GeneralRatePct;PostAppearances;PostRatePct;LiftPctPoints;RateRatio;WindowsContainingNumber;WindowPresenceRatePct
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;DISCOVERY;195;1755;151;5.933202;116;6.609687;0.676484;1.114017;86;44.102564
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;DISCOVERY;195;1755;160;6.286837;123;7.008547;0.72171;1.114797;93;47.692308
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;DISCOVERY;195;1755;159;6.247544;124;7.065527;0.817983;1.130929;94;48.205128
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;DISCOVERY;195;1755;160;6.286837;122;6.951567;0.66473;1.105734;97;49.74359
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;DISCOVERY;195;1755;165;6.483301;127;7.236467;0.753167;1.11617;94;48.205128
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;DISCOVERY;195;1755;152;5.972495;117;6.666667;0.694172;1.116228;91;46.666667
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;DISCOVERY;195;1755;170;6.679764;129;7.350427;0.670663;1.100402;97;49.74359
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;DISCOVERY;195;1755;182;7.151277;140;7.977208;0.825931;1.115494;104;53.333333
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;DISCOVERY;195;1755;187;7.347741;142;8.091168;0.743427;1.101178;105;53.846154
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;DISCOVERY;195;1755;182;7.151277;142;8.091168;0.939891;1.13143;105;53.846154
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;DISCOVERY;195;1755;181;7.111984;142;8.091168;0.979184;1.137681;103;52.820513
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;DISCOVERY;195;1755;187;7.347741;145;8.262108;0.914368;1.124442;103;52.820513
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;DISCOVERY;195;1755;197;7.740668;161;9.173789;1.433121;1.185142;113;57.948718
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;VALIDATION;51;459;50;5.889282;26;5.664488;-0.224793;0.96183;22;43.137255
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;VALIDATION;51;459;57;6.713781;27;5.882353;-0.831428;0.876161;23;45.098039
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;VALIDATION;51;459;73;8.598351;37;8.061002;-0.537349;0.937506;27;52.941176
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;VALIDATION;51;459;67;7.891637;40;8.714597;0.82296;1.104283;28;54.901961
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;VALIDATION;51;459;64;7.53828;32;6.971678;-0.566603;0.924837;25;49.019608
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;VALIDATION;51;459;45;5.300353;23;5.010893;-0.28946;0.945389;20;39.215686
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;VALIDATION;51;459;52;6.124853;27;5.882353;-0.2425;0.960407;24;47.058824
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;VALIDATION;51;459;49;5.771496;27;5.882353;0.110857;1.019208;21;41.176471
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;VALIDATION;51;459;52;6.124853;31;6.753813;0.62896;1.10269;30;58.823529
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;VALIDATION;51;459;52;6.124853;30;6.535948;0.411095;1.067119;23;45.098039
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;VALIDATION;51;459;61;7.184923;34;7.407407;0.222484;1.030965;25;49.019608
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;VALIDATION;51;459;59;6.949352;30;6.535948;-0.413404;0.940512;25;49.019608
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;VALIDATION;51;459;51;6.007067;25;5.446623;-0.560444;0.906703;21;41.176471
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;5;11;TEST;53;477;64;7.53828;36;7.54717;0.008889;1.001179;29;54.716981
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;10;9;TEST;53;477;58;6.831567;42;8.805031;1.973465;1.288874;28;52.830189
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;15;6;TEST;53;477;46;5.418139;30;6.289308;0.871169;1.160788;23;43.396226
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;16;13;TEST;53;477;50;5.889282;30;6.289308;0.400027;1.067925;26;49.056604
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;21;7;TEST;53;477;56;6.595995;28;5.870021;-0.725974;0.889937;22;41.509434
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;23;10;TEST;53;477;68;8.009423;32;6.708595;-1.300827;0.837588;22;41.509434
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;57;12;TEST;53;477;51;6.007067;26;5.450734;-0.556333;0.907387;17;32.075472
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;61;5;TEST;53;477;51;6.007067;27;5.660377;-0.34669;0.942286;21;39.622642
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;62;8;TEST;53;477;58;6.831567;32;6.708595;-0.122971;0.982;28;52.830189
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;63;3;TEST;53;477;65;7.656066;37;7.756813;0.100747;1.013159;31;58.490566
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;75;2;TEST;53;477;51;6.007067;22;4.612159;-1.394908;0.767789;20;37.735849
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;83;4;TEST;53;477;65;7.656066;42;8.805031;1.148965;1.150073;36;67.924528
OVERALL;1;05,10,15,16,21,23,57,61,62,63,75,83,90;90;1;TEST;53;477;53;6.242638;32;6.708595;0.465957;1.074641;29;54.716981
OVERALL;2;03,07,12,22,24,54,58,64,65,71,80,86,89;3;4;DISCOVERY;155;1395;168;6.601179;112;8.028674;1.427495;1.216249;81;52.258065
